wrkId,wrkLastName,wrkSecLastName,wrkFirstName,wrkMidName,wrkPhoneNo,wrkCellNo,wrkCorpEmail,wrkStatus,wrkAddress,wrkCity,wrkRegion,wrkCountry
WORKF-T1-481468446844,CSV-,REC1,NAME1,MIDNAME1,PHONE1-MOD,CELLPHONE1,EMAIL1@linexperts.com,En Labor,ADDRESS1,CITY1,REGION1,COUNTRY1
WORKF-T0-68686825625,CSV-,REC2,NAME2,MIDNAME2,PHONE2,CELLPHONE2,EMAIL2@linexperts.com,En Labor,ADDRESS2,CITY2,REGION2,COUNTRY2
WORKF-T2-426842684628,CSV-,REC3,NAME3,MIDNAME3,PHONE3,CELLPHONE3,EMAIL3@linexperts.com,En Vacaciones,ADDRESS3,CITY3,REGION3,COUNTRY3
WORKF-T3-001612032022,CSV-,REC4,NAME4,MIDNAME4,PHONE4,CELLPHONE4,EMAIL4@linexperts.com,En Labor,ADDRESS4,CITY4,REGION4,COUNTRY4
WORKF-T4-487928974894,CSV-,REC5,NAME5,MIDNAME5,PHONE5,CELLPHONE5,EMAIL5@linexperts.com,En Incapacidad,ADDRESS5,CITY5,REGION5,COUNTRY5
WORKF-T5-423515312543,CSV-,REC6,NAME6,MIDNAME6,PHONE6,CELLPHONE6,EMAIL6@linexperts.com,En Labor,ADDRESS6,CITY6,REGION6,COUNTRY6
WORKF-T6-354323535435,CSV-,REC7,NAME7,MIDNAME7,PHONE7,CELLPHONE7,EMAIL7@linexperts.com,En Licencia remunerada,ADDRESS7,CITY7,REGION7,COUNTRY7
WORKF-T7-417415417547,CSV-,REC8,NAME8,MIDNAME8,PHONE8,CELLPHONE8,EMAIL8@linexperts.com,En Labor,ADDRESS8,CITY8,REGION8,COUNTRY8
WORKF-T9-999989998888,CSV-,REC9,NAME9,MIDNAME9,PHONE9-MOD,CELLPHONE9,EMAIL9@linexperts.com,En Labor,ADDRESS9,CITY9,REGION9,COUNTRY9
WORKF-T8-71387871007,CSV-,REC10,NAME10,MIDNAME10,PHONE10,CELLPHONE10,EMAIL10@linexperts.com,En Licencia no remunerada,ADDRESS10,CITY10,REGION10,COUNTRY10
WORKF-T8-713878716878,CSV-,REC11,NAME11,MIDNAME11,PHONE11,CELLPHONE11,EMAIL11@linexperts.com,En Labor,ADDRESS11,CITY11,REGION11,COUNTRY11
